๏ครั้นว่าไหว้ครูแล้วจับบท	ให้ปรากฏเรื่องราวมาแต่ก่อน
ครั้งสมเด็จพระพันวษานรากร	ครองนครกรุงศรีอยุธยา
เกษมสุขแสนสนุกดังเมืองสวรรค์	พระเดชนั้นแผ่ไปในทิศา
เป็นปิ่นภพลบโลกโลกา	ครอบครองไพร่ฟ้าประชากร
เมืองขึ้นน้อยใหญ่ในอาณาเขต	เกรงพระเดชทั่วหมดสยดสยอน
ต่างประเทศเขตขอบพระนคร	ชลีกรอ่อนเกล้าอภิวันท์
พร้อมด้วยโภไคยไอศูรย์	สมบูรณ์พูนสุขเกษมสันต์
พระองค์ทรงทศพิธราชธรรม์	ราษฎรทั้งนั้นก็ยินดีฯ
๏จะกล่าวถึงเรื่องขุนแผนขุนช้าง	ทั้งนวลนางวันทองผ่องศรี
ศักราชร้อยสี่สิบเจ็ดปี	พ่อแม่เขาเหล่านี้คนครั้งนั้น
เป็นข้าขอบขัณฑสิมา	สมเด็จพระพันวษานราสรรค์
จะว่าเนื่องตามเรื่องนิยายพลัน	ท่านผู้ฟังทั้งนั้นจงเข้าใจ
ขุนไกรพลพ่ายอยู่บ้านพลับ	มีทรัพย์เงินทองของน้อยใหญ่
นางทองประศรีนั้นอยู่วัดตะไกร	ทั้งสองนี้ได้เป็นคู่กัน
แล้วรื้อเรือนออกไปปลูกใหม่	อยู่ในแว่นแคว้นสุพรรณนั่น
เป็นทหารชาญชัยใจฉกรรจ์	คุมไพร่ทั้งนั้นได้เจ็ดร้อย
อาจองคงกระพันชาตรี	เข้าไหนไม่มีที่จะถอย
รบศึกศัตรูอยู่กับรอย	ถึงมากน้อยเท่าไรไม่หนีมา
กรมการเมืองสุพรรณสั่นหัว	เข็ดขามคร้ามกลัวใครไม่ฝ่า
โปรดปรานเป็นทหารอยุธยา	มีสง่าอยู่ในเมืองสุพรรณฯ
๏มาข้าจะกล่าวบทไป	ถึงขุนศรีวิชัยคนขยัน
เป็นนายกรมช้างกองนอกนั้น	บ้านอยู่สุพรรณพารา
เป็นเศรษฐีมีทรัพย์นับร้อย	บ่าวไพร่ใหญ่น้อยก็หนักหนา
ได้นางเทพทองเป็นภรรยา	อยู่ท่าสิบเบี้ยเมืองสุพรรณฯ
๏จะกล่าวกลอนถึงพันศรโยธา	เพื่อนได้ภรรยาก็คมสัน
ชื่อว่านวลนางศรีประจัน	เป็นเศรษฐีมีพันธุ์ด้วยกันมา
อยู่ท่าพี่เลี้ยงเมืองสุพรรณ	น้องนางศรีประจันนั้นปากกล้า
ชื่อว่าบัวประจันถัดกันมา	มีผัวชื่อว่านายโชดคง
เดิมเพื่อนอยู่ทางบางเหี้ย	ครั้นไปได้เมียก็ลุ่มหลง
ไม่คิดถึงซึ่งเหล่าเผ่าพงศ์	ยวดยงแต่จะเที่ยวขโมยควายฯ
๏บทนี้จะยกไว้เสียก่อน	จะกล่าวกลอนถึงกำเนิดคนทั้งหลาย
เมื่อแรกเข้าสู่ครรภ์บรรยาย	ว่าอ้ายผีแสนร้ายบนปลายไม้
กลางคืนปั้นรูปหัวเราะขิก	แล้วหยิบหยิกบีบบี้มิเอาส่ำได้
ปั้นแล้วปั้นเล่าเฝ้าริกไป	เอานั่นนี่บี้ใส่ให้ครบครัน
คืนหนึ่งผีปั้นอยู่ปลายไม้	ยังมีสัตว์อยู่ในนรกนั่น
ทนทุกข์เวทนาสากรรจ์	ครั้นสิ้นกรรมทำนั้นก็พ้นทุกข์
จุติจากเพศเปรตอสุรกาย	วุ่นวายวิ่งมาหาความสุข
จะไปสวรรค์มิทันจะพ้นทุกข์	ผีปั้นมันจึงซุกเข้าในครรภ์ฯ
๏ฝ่ายนางเทพทองนั้นนอนหลับ	พลิกกลับก็เพ้อละเมอฝัน
ว่าช้างพลายตายกลิ้งตลิ่งชัน	พองขึ้นหัวนั้นเน่าโขลงไป
ยังมีนกตะกรุมหัวเหม่	บินเตร่เร่มาแต่ป่าใหญ่
อ้าปากคาบช้างแล้ววางไป	เข้าในหอกลางที่นางนอน
ในฝันนั้นว่านางเรียกนก	เชิญเจ้าขรัวหัวถกมานี่ก่อน
นางคว้าได้ตัวเจ้าหัวกล้อน	กอดนกกับช้างนอนสบายใจ
ครั้นตื่นฟื้นตัวปลุกผัวพลัน	เหียนรากตัวสั่นไม่กลั้นได้
ให้เหม็นช้างเหม็นนกติดอกใจ	โฮกโฮกอีพ่อข้าไหว้ช่วยทุบคอ
ขุนศรีวิชัยตกใจจ้าน	ลุกขึ้นลนลานตาปอหลอ
เอามือเข้ากำขยำคอ	พอหายรากเล่าต่อความฝันไป
ขุนศรีวิชัยจึงทำนายฝัน	อ่อเจ้าจะมีครรภ์หาเป็นไรไม่
ลูกของเราจะเป็นชายทำนายไว้	เหมือนนกตะกรุมตัวใหญ่คาบช้างมา
จะบริบูรณ์พูนสวัสดิ์แล้วเจ้าพี่	แต่ลูกของเรานี้จะขายหน้า
หัวล้านแต่กำเนิดเกิดมา	จะมั่งมีเงินตรากว่าห้าเกวียน
ฝ่ายนางเทพทองไม่รับพร	กุมท้องขย่อนไม่หายเหียน
โคตรแม่มึงช่างมาให้อาเจียน	อ้ายหัวเลี่ยนโล้นเกลี้ยงจะเลี้ยงไยฯ
๏จะมากล่าวถึงนางทองประศรี	นอนด้วยสามีในเรือนใหญ่
นิมิตฝันนั้นว่าท้าวสหัสนัยน์	ถือแหวนเพชรเม็ดใหญ่เหาะดั้นมา
ครั้นถึงจึงยื่นแหวนนั้นให้	นางรับแหวนไว้ด้วยหรรษา
แสงเพชรส่องวาบปลาบเข้าตา	ตื่นผวาคว้าทั่วปลุกผัวพลัน
ขุนไกรลืมตาว่าอะไรเจ้า	นางจึงเล่าเนื้อความนิมิตฝัน
ทั้งสองลุกมาล้างหน้าพลัน	หาหมากพลูสู่กันแล้วทำนาย
ฝันว่าได้ธำมรงค์วงวิเศษ	ของโกสีย์ตรีเนตรอันเฉิดฉาย
เพชรรัตน์อร่ามงามเพริศพราย	บรรยายว่าเป็นสิ่งมิ่งมงคล
จะมีครรภ์ลูกนั้นจะเป็นชาย	ดังทหารพระนารายณ์มาปฏิสนธิ์
กล้าหาญการณรงค์คงทน	ฤทธิรณปราบทั่วทั้งแดนไตร
ซึ่งว่าเพชรรัศมีสีกล้า	ภายหน้าจะได้เป็นทหารใหญ่
มียศศักดิเป็นพระยาข้าใช้	ร่วมพระทัยทรงธรรม์พระพันปี
นางทองประศรียกมือไหว้	รับพรผัวให้ประเสริฐศรี
ทั้งสองนอนไปในราตรี	สุขเกษมเปรมปรีดิ์ทั้งสองราฯ
๏มาจะกล่าวถึงนางศรีประจัน	เที่ยงคืนนอนฝันในเคหา
ว่าพระพิษณุกรรม์เหาะดั้นฟ้า	ถือแหวนประดับมาสวมนิ้วนาง
แล้วก็กลับไปสถานพิมานมาศ	แสนสนิทพิศวาสจนสว่าง
ตื่นลุกปลุกผัวยิ้มหัวพลาง	ล้างหน้าแล้วพลันแก้ฝันไป
ท่านขาคืนนี้ข้าเจ้าฝัน	ว่าพระพิษณุกรรม์นายช่างใหญ่
ถือแหวนประดับงามจับใจ	เอามาส่งให้ไว้กับเรา
แล้วก็กลับไปสถานพิมานฟ้า	เมียจะเกิดโรคาฤๅพ่อเจ้า
ให้เมียรู้ประจักษ์ว่าหนักเบา	ความฝันนั้นเล่ายังติดตา
พันศรโยธาผู้ผัวแก้ว	ฟังเมียเล่าแล้วหัวเราะร่า
จึงทำนายฝันไปมิได้ช้า	ว่าเจ้าฝันนั้นหนาจะมีครรภ์
ได้แหวนประดับลูกจะเป็นหญิง	รูปร่างงามจริงตละแกล้งสรร
ด้วยเป็นแหวนของพระพิษณุกรรม์	จะเป็นช่างใครนั้นไม่ทันเลย
ศรีประจันรับพรหัวเราะร่า	ให้ได้เหมือนปากว่าเถิดพ่อเอ๋ย
ถ้าฉันนี้มีลูกได้ชมเชย	ไม่อุ้มลูกใครเลยให้นินทาฯ
๏จะกล่าวถึงนางเทพทอง	ท้องนั้นโตใหญ่ขึ้นค้ำหน้า
ลุกนั่งอึดอัดถัดไปมา	ให้อยากเหล้าเนื้อพล่าตัวสั่นรัว
น้ำลายไหลรี่ดังผีกระสือ	ร้องไห้ครางฮืออ้อนวอนผัว
เหมือนหนึ่งตาหลวงเข้าประจำตัว	ยิ่งให้กินตละยั่วยิ่งเป็นไป
ปลาไหลไก่กบทั้งเต่าฝา	แย้บึ้งอึ่งนาไม่พอไส้
หยิบคำโตๆโม้เข้าไป	ประเดี๋ยวเหล้าสิ้นไหไม่ซื้อทัน
เจ็บปวดหลายเดือนดีดัก	พะอำพะอักออดแอดอยู่ตัวสั่น
ท้องลดทศมาสลูกถีบยัน	พอใกล้ฤกษ์ยามนั้นเจ็บหนักไป
บิดตัวเรียกผัวหาพ่อแม่	ร้องเปื้อนเชือนแชไม่เอาส่ำได้
ฝ่ายผัวพ่อแม่แลข้าไท	วิ่งวุ่นครุ่นไปที่บนเรือน
บ้างก็เสกมงคลปรายข้าวสาร	เอาเบี้ยบนลนลานเหน็บฝาเกลื่อน
บ้างเร่งหมอตำแยอย่าแชเชือน	ข่มท้องร้องเตือนลูกขวางตัว
บ้างก็เข้าหนุนหลังนั่งเคียงข้าง	นางเทพทองร้องครางพลางกลอกหัว
ขุนศรีวิชัยนั้นตัวสั่นรัว	จิกหัวแล้วเป่ากระหม่อมลง
หมอตำแยแยงแย่เข้าคร่อมท้อง	แม่นางเทพทองเข้าข่มส่ง
ตัวสั่นหวั่นไหวมิใคร่ลง	หมอตำแยว่าตรงแล้วข่มมา
ยายคงโก้งโค้งโขย่งข่ม	เสียงผลุดนอนล้มไปจมฝา
ลูกร้องแงแงแม่ลืมตา	พอช้างเผือกเข้ามาถึงวันนั้น
นางเทพทองเหลียวหน้าคว้าลูกชาย	พลิกคว่ำพลิกหงายอยู่ตัวสั่น
ทุดลูกบัดสีเหมือนผีปั้น	หัวล้านในครรภ์ดังวงเดือน
เสียแรงอุ้มท้องประคองมา	ชกโคตรแม่อ้ายหมาขี้เรื้อนเปื้อน
เลี้ยงมันไว้ไยอายเพื่อนเรือน	หัวเหมือนโคตรข้างไหนให้เกิดมา
ด่าแล้วจึงเข้าไปนอนไฟ	แม่นมข้าไทให้รักษา
อาบน้ำป้อนข้าวทุกเวลา	ไกวเปลเห่ช้ามาทุกวัน
บริบูรณ์พูนเกิดกว่าแต่ก่อน	เพราะบุญของลูกอ่อนได้สร้างสรรค์
แต่เกิดมาเงินตราอุดมครัน	ข้าหญิงชายนั้นมากมายไป
เพอิญให้แม่เคียดเกลียดชัง	แต่มั่งคั่งหาใครเสมอไม่
ปู่ย่าตายายสบายใจ	จะให้ชื่อหลานไว้เป็นมงคล
แม่ฝันว่านกตะกรุมคาบช้าง	บินมาแต่ทางพนาสณฑ์
พาไปให้ถึงในเรือนตน	หัวล้านอกขนแต่เกิดมา
เมื่อตกฟากฤกษ์พารของหลานชาย	ช้างเผือกมาถวายพระพันวษา
จึงให้นามตามเหตุทั้งปวงมา	หลานรักของข้าชื่อขุนช้าง
แล้วให้เอาเงินทองกรองใส่คอ	กำไลมือล้นข้อทั้งสองข้าง
กำไลเงินใส่เท้าก้าวขากาง	ปะวะหล่ำสองข้างแขนหลานยา
เอวคาดสร้อยอ่อนจำหลักทับ	พริกเทศประดับกัลปังหา
ห้อยอยู่ต้องแต้งแกว่งไปมา	ยิ้มหัวหาหาอ้าปากโจน
นางเทพทองร้องด่าอ้ายยาจก	ช่างเต้นหยกหยกเหมือนตลกโขน
ยึดไว้ไม่นิ่งตละลิงทโมน	อ้ายผีโลนที่ไหนปั้นใส่มา
ไม่มีใจที่จะใคร่เข้าอุ้มชู	เหมือนค่างครอกหลอกกูดูขายหน้า
ทำตาบ้องแบวแมวกินปลา	อ้ายตายห่าด่าแช่งไม่เว้นวัน
พอขุนช้างสามขวบไปเที่ยวเล่น	เด็กเห็นก็กลัวจนตัวสั่น
โน่นแน่แม่เอ๋ยอะไรนั้น	มันอ้าปากยิงฟันข้าพรั่นใจ
นางแม่ห้ามว่าเอ็งอย่ากลัว	ขุนช้างลูกเจ้าขรัวบ้านรั้วใหญ่
เขาเป็นเศรษฐีมีข้าไท	อย่ากีดขวางหลีกไปให้เขามาฯ
๏จะกล่าวถึงทองประศรีมีครรภ์แก่	งามแท้เผ้าผมก็สมหน้า
ผิวพรรณดังสุวรรณมาทาบทา	ดวงหน้าดังจันทร์เมื่อวันเพ็ง
แก้มทั้งสองข้างดังปรางทอง	เต้านมทั้งสองก็ครัดเคร่ง
ผิวเนื้อเป็นนวลควรแลเล็ง	ดูปลั่งเปล่งน่าชมพอสมตัว
จำศีลภาวนาเป็นเนืองนิจ	น้อมจิตรนบนิ้วขึ้นเหนือหัว
ภาวนาบูชาด้วยดอกบัว	ไม่กลัวที่จะเป็นอันตราย
จนท้องโตใหญ่ได้สิบเดือน	บุญเตือนจะคลอดลูกสืบสาย
ลมกัมมัชวาตพัดกลับกลาย	ลูกนั้นบ่ายศีรษะลงทวาร
เจ็บท้องร้องแรกอยู่เวยวาย	ปู่ตาย่ายายอึงทั้งบ้าน
ญาติกาข้าไทมาซมซาน	หมอตำแยงุ่นง่านเข้าผันแปร
ถึงฤกษ์งามยามปลอดคลอดง่ายดาย	ลูกนั้นเป็นชายร้องแว้แว้
พี่ป้าน้าอามาดูแล	ล้างแช่แล้วก็ส่งให้แม่นม
ทาขมิ้นแล้วใส่กระด้งร่อน	ใส่เบาะให้นอนเอาผ้าห่ม
ปู่ย่าตายายสบายชม	เรือนผมน่ารักดังฝักบัว
เอาขึ้นใส่อู่แล้วแกว่งไกว	แม่เข้านอนไฟให้ร้อนทั่ว
เดือนหนึ่งออกไฟไม่หมองมัว	ขมิ้นแป้งแต่งตัวน่าเอ็นดู
พ่อแม่ปรึกษากับย่ายาย	จะชื่อหลานชายอย่างไรปู่
ฝ่าตาตะแกเป็นหมอดู	คิดคูณเลขอยู่ให้หลานชาย
ปีขาลวันอังคารเดือนห้า	ตกฟากเวลาสามชั้นฉาย
กรุงจีนเอาแก้วอันแพรวพราย	มาถวายพระเจ้ากรุงอยุธยา
ให้ใส่ปลายยอดพระเจดีย์ใหญ่	สร้างไว้แต่เมื่อครั้งเมืองหงสา
เรียกวัดเจ้าพระยาไทยแต่ไรมา	ให้ชื่อว่าพลายแก้วผู้แววไว
แล้วเร่งรัดจัดแจงแต่งบายศรี	เงินทองของดีมาผูกให้
กล้วยน้ำแตงกวาเอามาใส่	ธูปเทียนดอกไม้มีหลายพรรณ
ให้หลานใส่เสมาปะวะหล่ำ	กำไลทองคำงามเฉิดฉัน
บ้าหว่าทองผูกสองข้างแขนนั้น	สายกุดั่นทั้งแท่งดังแกล้งทำ
เอวคาดสร้อยอ่อนซ้อนดอกลอย	ฝังพลอยมรกตสีสดขำ
ผูกลูกพริกเทศด้วยทองคำ	กำไลตีนนากเห็นหลากตา
จัดแจงแขกนั่งเป็นวงกัน	พงศ์พันธุ์พร้อมอยู่ทั้งปู่ย่า
ยกบายศรีแล้วโห่ขึ้นสามลา	เวียนแว่นไปมาโห่เอาชัยฯ
๏ศรีศรีวันนี้ฤกษ์ดีแล้ว	เชิญขวัญพลายแก้วอย่าไปไหน
ขวัญมาอยู่สู่กายให้สบายใจ	ชมช้างม้าข้าไททั้งเงินทอง
ขวัญเอ๋ยเจ้ามาเถิดพ่อมา	อย่าเที่ยวล่ากะเกณฑ์ตระเวนท่อง
มาชมพวงแก้วแล้วพวงทอง	ข้าวของเหลือหลายสบายใจ
ครั้นแล้วก็โห่อิกสามที	ดับอัคคีโบกควันเจิมพักตร์ให้
ให้ชันษายืนหมื่นปีไป	มีชัยชำนะสวัสดี
ครั้นทำขวัญเสร็จสำเร็จการ	วงศ์วานปรีดิ์เปรมเกษมศรี
จนอายุพลายแก้วได้ห้าปี	พาทีแคล่วคล่องว่องไวฯ
๏จะกล่าวถึงนางศรีประจัน	เมื่อเจ้ามีครรภ์ท้องโตใหญ่
ยินดีรื่นเริงบันเทิงใจ	ถ้วนกำหนดได้ถึงสิบเดือน
เจ็บรนก็พ้นที่จะกลั้น	ลุกขึ้นถีบยันจะคลอดเคลื่อน
กลิ้งเกลือกเสือกร้องก้องทั้งเรือน	จิตรประหวั่นฟั่นเฟือนไม่สมประดี
ปู่ย่าตายายทั้งพ่อแม่	หมอตำแยแม่มดที่ถือผี
ต่างมาพร้อมกันในทันที	พี่ป้าน้าอาทั้งข้าไท
บ้างเอาเบี้ยขึ้นควงบวงบน	ปากบ่นพึมพำไม่เอาส่ำได้
ออท้าวหาวเรอเฮ่อเฮ่อไป	หากูมาทำไมอ้ายขุนโรง
คว้าเหล้าเข้าปากเคี้ยวหมากซ้ำ	ลุกขึ้นเต้นรำอยู่โหยงโหยง
ซวนคะมำต้ำปุกลุกโก้งโค้ง	ปะติโปงเท่งโปงรำช้อยไป
เมาเหล้าเข้าหนักยักสี่มุม	พ่อหลวงมาช่วยคุ้มหาเป็นไรไม่
ปู่ย่าตายายสบายใจ	โปรดเถิดอีพ่อข้าไหว้ข้าตีนโรง
มึงอย่าร้อนใจฟังกูว่า	ลุกขึ้นหลกผ้าอยู่โล้งโต้ง
ศรีประจันเจ็บท้องร้องโก้งโค้ง	หมอตำแยเข้าโขย่งแล้วข่มมา
เข้าล้อมซ้อมข่มอยู่พัลวัน	ถึงยามนั้นฤกษ์ปลอดคลอดแล้วหวา
นอนหงายตะกายร้องวาวา	เป็นหญิงโสภาน่าเอ็นดู
อาบน้ำแล้วซ้ำทาขมิ้น	เอานมให้กินแล้วใส่อู่
แม่นมข้าไทให้เลี้ยงดู	กินอยู่เป็นสุขทุกเวลา
สำเร็จเสร็จพลันทันใด	ค่อยจำเริญวัยขึ้นใหญ่กล้า
แม่พ่อก็รักดังดวงตา	เลี้ยงมามิได้เป็นอันตราย
ปู่ตาย่าทวดมาทำขวัญ	แหวนทองผูกพันเข้าเหลือหลาย
เลี้ยงมาก็ได้ห้าขวบปลาย	รูปกายงามยิ่งพริ้งเพรา
ทรวดทรงส่งศรีไม่มีแม้น	อรชรอ้อนแอ้นประหนึ่งเหลา
ผมสลวยสวยขำงามเงา	ให้ชื่อเจ้าว่าพิมพิลาไลย
สอนเย็บเก็บปักหักทองขวาง	ที่รุ่นราวคราวนางไม่เปรียบได้
เช้าเย็นออกไปเล่นเก็บดอกไม้	ที่ข้างวัดเขาใหญ่อยู่อัตราฯ
๏จะกล่าวถึงพลายแก้วกับขุนช้าง	ทั้งสองข้างออกไปเล่นกับบ่าวข้า
พอพบขุนช้างพลางพูดจา	ไปซื้อเหล้าเอามากินด้วยกัน
พลายแก้วกินเหล้าเข้าต้ำอึก	ขุนช้างวางหงึกจนหัวสั่น
ยั่นกูเมาหนักหนาจนตาชัน	เทเหล้าใส่ขันชวนเป็นเกลอ
จึงเอามือพลายแก้วลงจดขัน	เราซื่อต่อกันจนตายเหนอ
ถ้าใครทรยศคดต่อเกลอ	ให้เทพเธอสังหารผลาญชีวัน
อันดาบองครักษ์ทั้งสี่หมู่	อย่าให้แคล้วคอกูเป็นแม่นมั่น
ขอให้พลัดมารดาห้าร้อยกัลป์	จิ้มเอาเหล้าในขันขึ้นควั่นคอ
พลายแก้วกินเหล้าเข้าต้ำอึก	ขุนช้างวางบึกตาปอหลอ
นางพิมพิลาไลยชอบใจงอ	สมน้ำหน้ามันหนออ้ายจัณฑาล
แล้วนางเล่นหุงข้าวต้มแกง	กวาดทรายจัดแจงเป็นรั้วบ้าน
นางเล่นทำบุญให้ทาน	ไปนิมนต์สมภารมาเร็วไว
ขุนช้างนั้นเป็นสมภารมอญ	ไม่พักโกนหัวกล้อนสวดมนต์ใหญ่
พลายแก้วนั้นเป็นสมภารไทย	จัดแจงแต่งให้ยกของมา
สวดมนต์ฉันเสร็จสำเร็จแล้ว	ฝ่ายข้างพลายแก้วอุตริว่า
เราเล่นเป็นผัวเมียกันเถิดรา	ขุนช้างร้องว่าข้าชอบใจ
นางพิมว่าไปอ้ายนอกคอก	รูปชั่วหัวถลอกกูหาเล่นไม่
พลายแก้วว่าเล่นเถิดเป็นไร	ให้ขุนช้างนั้นไซร้เป็นผัวพลาง
ตัวข้าจะย่องเข้าไปหา	จะไปลักเจ้ามาเสียจากข้าง
ทั้งสองคนรบเร้าเฝ้าชวนนาง	จึงหักใบไม้วางต่างเตียงนอน
นางฉลาดกวาดทรายกลายเป็นเรือน	พูนขึ้นกล่นเกลื่อนดังฟูกหมอน
